temperature,pressure,humidity,vibration,equipment,location,vibration_log,latitude,longitude,faulty,le_equipment
-0.5728903034128809,-0.8398562520218316,-0.2721909093874835,-1.3492338412558433,Turbine,Atlanta,-1.6210651325979524,-0.6744607734644747,0.5378944973340964,0.0,2
0.021021823942517514,-0.9699378410569108,-0.4941659828026824,0.2943473125443529,Compressor,Chicago,0.49930058927129356,1.1567451926947672,0.33995275526676744,0.0,0
-0.12718513126996225,-0.698975005982542,0.4967911016369066,-0.6063270070586652,Turbine,San Francisco,-0.4703545889907858,0.23370203119005703,-1.7896176433692579,0.0,2
-0.11844612708739871,-0.3876901600689678,-0.5696907745197849,-0.24422270073091748,Pump,Atlanta,-0.040854041377793124,-0.6744607734644747,0.5378944973340964,0.0,1
-0.2912758537479626,0.4243277741867805,-0.4137627052042596,-1.5970822577640602,Pump,New York,-2.1353409724308814,0.8947173196225943,1.1734469778784147,0.0,1
-0.8660907140223606,2.381842196977772,-1.746720883277977,2.639965828075484,Compressor,New York,2.105696027251016,0.8947173196225943,1.1734469778784147,1.0,0
-0.27786010933524763,0.44521894870544015,0.8360903471085055,-0.45526768121823413,Compressor,Houston,-0.28338793144620367,-1.5735623348390757,-0.13396291274799615,0.0,0
2.4961214850087012,-1.0163160656983996,-0.6056582680049445,-1.820689431754402,Turbine,San Francisco,-2.6934397893300805,0.23370203119005703,-1.7896176433692579,1.0,2
-0.8359110398838395,0.4370163908907502,-0.4245571664816609,0.19337637296261104,Pump,Houston,0.40540212680998144,-1.5735623348390757,-0.13396291274799615,0.0,1
-0.37990963198619027,-0.28990669139173375,-0.4983353128842939,-0.8435450271924592,Compressor,Atlanta,-0.7906966951112883,-0.6744607734644747,0.5378944973340964,0.0,0
-0.7457063310409731,0.3558621492714883,-0.16989769000713614,0.04144508838741672,Compressor,New York,0.2581217475304093,0.8947173196225943,1.1734469778784147,0.0,0
2.2369503185397974,0.9910731702062463,2.087939425428823,0.6622459862891085,Pump,Atlanta,0.8177967895082087,-0.6744607734644747,0.5378944973340964,1.0,1
-0.224148539949664,0.4394471468038096,0.5568313347043964,-0.7906101410917354,Compressor,Houston,-0.7160825346796708,-1.5735623348390757,-0.13396291274799615,0.0,0
0.32442836863191055,0.35459359187595074,-0.1639689554472189,-0.6346081451129614,Turbine,San Francisco,-0.5067388853426187,0.23370203119005703,-1.7896176433692579,0.0,2
0.2914490548350331,0.9414612104152283,-1.441937601249309,-0.36541580111554384,Turbine,New York,-0.1776400113161312,0.8947173196225943,1.1734469778784147,0.0,2
0.22134249111282447,-1.0451019428450143,-0.1961120016902386,-0.7836176645518267,Compressor,Atlanta,-0.7063683529691384,-0.6744607734644747,0.5378944973340964,0.0,0
-0.2603946239704464,-0.4542384672966616,-0.5448420773113672,-0.5301990742553662,Compressor,New York,-0.37462429082517423,0.8947173196225943,1.1734469778784147,0.0,0
-0.5822629899760023,-0.5052061891167168,-0.08877347181626756,-0.3559504669786298,Pump,Chicago,-0.16672142068245815,1.1567451926947672,0.33995275526676744,0.0,1
-0.22819188837053395,-1.0676614139259368,-0.17459660995053639,-0.7623953449660489,Turbine,Atlanta,-0.6770833325917678,-0.6744607734644747,0.5378944973340964,0.0,2
-0.03546539939758721,0.6566531552463614,-0.005856810136412442,-1.048482386446377,Compressor,Atlanta,-1.09915627052253,-0.6744607734644747,0.5378944973340964,0.0,0
-0.4919150743985088,-0.535876416573016,-0.3341175835770365,-0.9909324699904459,Turbine,Chicago,-1.0091708773693733,1.1567451926947672,0.33995275526676744,0.0,2
-0.26483025040091923,0.28087356837087335,-0.10932187227342867,-1.078184062901107,Pump,Atlanta,-1.146714127484537,-0.6744607734644747,0.5378944973340964,0.0,1
-0.058953853026821115,-0.8908320619597819,0.5424199966673087,-1.1038494875697653,Compressor,Chicago,-1.188447011777616,1.1567451926947672,0.33995275526676744,0.0,0
0.44710545951635033,0.0669940673103099,-0.22825552444043856,-0.7165649677724583,Pump,Houston,-0.6148326718199538,-1.5735623348390757,-0.13396291274799615,0.0,1
-0.24687891910107182,0.12174202578594008,0.8076502059883179,0.41064470174167683,Turbine,Houston,0.6038128775536026,-1.5735623348390757,-0.13396291274799615,0.0,2
1.4250925439940956,2.366043992965212,1.8416119340148913,1.1653612840311143,Pump,New York,1.2034557405906519,0.8947173196225943,1.1734469778784147,1.0,1
-0.6869897032257636,-0.10107426385484891,-0.4150329135649375,-1.069887066420595,Pump,New York,-1.1333503971110317,0.8947173196225943,1.1734469778784147,0.0,1
-0.5788818470473038,-0.9813928612070668,-0.24982731698443142,-0.28247019116857924,Pump,San Francisco,-0.08332964242686923,0.23370203119005703,-1.7896176433692579,0.0,1
-0.060023994519408666,-0.36577673822718165,-0.5611520982762603,-0.6626448898628557,Pump,San Francisco,-0.5432651590683362,0.23370203119005703,-1.7896176433692579,0.0,1
-0.3350541626602266,0.5898340858652149,-0.3103827049662069,-1.1222898012203606,Compressor,Atlanta,-1.2188068509923835,-0.6744607734644747,0.5378944973340964,0.0,0
-0.668107141300154,0.17886541945235904,-1.530693281821781,-1.4951561378391791,Compressor,New York,-1.912702401761512,0.8947173196225943,1.1734469778784147,0.0,0
